"Date","Page title","Sessions","Total users","Average session length (sec)","Bounce rate"
"2025-01-01","Carte Formules restaurant Mamie Bigoude","35","32","26,03","0,29"
"2025-01-01","Carte Galettes restaurant Mamie Bigoude","60","55","38,5","0,08"
"2025-01-01","Carte Salades restaurant Mamie Bigoude","5","4","15,2","0,2"
"2025-01-01","Carte crêpes restaurant Mamie Bigoude","14","14","33,79","0"
"2025-01-01","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","158","143","23,14","0,2"
"2025-01-01","Devenir franchisé Comptoir Mamie Bigoude","17","17","23,65","0,65"
"2025-01-01","Restaurant Breton Mamie Bigoude Blois","13","12","31,85","0,08"
"2025-01-01","Restaurant Breton Mamie Bigoude Bourges","46","39","16,48","0,33"
"2025-01-01","Restaurant Breton Mamie Bigoude Orléans","7","6","10,71","0,29"
"2025-01-01","Restaurant Breton Mamie Bigoude Tours","10","9","53,3","0"
"2025-01-01","Univers Comptoir Mamie Bigoude","12","11","29","0,08"
"2025-01-02","Breton Restaurant Mamie Bigoude Blois","1","1","27","0"
"2025-01-02","Carte Formules restaurant Mamie Bigoude","93","89","30,61","0,1"
"2025-01-02","Carte Galettes restaurant Mamie Bigoude","156","143","48,78","0,07"
"2025-01-02","Carte Salades restaurant Mamie Bigoude","42","41","19,83","0,02"
"2025-01-02","Carte crêpes restaurant Mamie Bigoude","66","61","31,06","0,03"
"2025-01-02","Comptoir Mamie Bigoude - Creperie in Amboise, Tours, Orléans, Blois","1","1","10","0"
"2025-01-02","Comptoir Mamie Bigoude - Crepería en Amboise, Tours, Orleans, Blois","2","2","69","0,5"
"2025-01-02","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","307","290","24,13","0,26"
"2025-01-02","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois et Bourges","1","1","15","0"
"2025-01-02","Devenir franchisé Comptoir Mamie Bigoude","55","54","21,09","0,45"
"2025-01-02","Menú del restaurante Galettes Mamie Bigoude","1","1","29","0"
"2025-01-02","Restaurant Breton Mamie Bigoude Blois","20","19","15,4","0,15"
"2025-01-02","Restaurant Breton Mamie Bigoude Bourges","114","95","23,06","0,25"
"2025-01-02","Restaurant Breton Mamie Bigoude Orléans","15","14","36,27","0,07"
"2025-01-02","Restaurant Breton Mamie Bigoude Tours","25","24","19,76","0,24"
"2025-01-02","Univers Comptoir Mamie Bigoude","37","30","29,46","0,16"
"2025-01-03","Carte Formules restaurant Mamie Bigoude","101","92","39","0,08"
"2025-01-03","Carte Galettes restaurant Mamie Bigoude","151","139","52,28","0,09"
"2025-01-03","Carte Salades restaurant Mamie Bigoude","38","37","23,92","0,03"
"2025-01-03","Carte crêpes restaurant Mamie Bigoude","71","69","42,63","0,01"
"2025-01-03","Comptoir Mamie Bigoude - Crepería en Amboise, Tours, Orleans, Blois","2","2","42,5","0"
"2025-01-03","Comptoir Mamie Bigoude - Crêperie in Amboise, Tours, Orleans, Blois","1","1","20","0"
"2025-01-03","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","308","291","22,47","0,28"
"2025-01-03","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois et Bourges","3","3","33,33","0"
"2025-01-03","Devenir franchisé Comptoir Mamie Bigoude","46","43","24,8","0,35"
"2025-01-03","Mamie Bigoude Counter - Crêperie in Amboise, Tours, Orléans, Blois","1","1","0","1"
"2025-01-03","Menu Galettes-restaurant Mamie Bigoude","1","1","17","0"
"2025-01-03","Menu Mamie Bigoude restaurantmenu's","1","1","28","0"
"2025-01-03","Menu pancakes restaurant Mamie Bigoude","1","1","15","0"
"2025-01-03","Menú de crepes restaurante Mamie Bigoude","1","1","17","0"
"2025-01-03","Restaurant Breton Mamie Bigoude Blois","13","12","12,69","0,23"
"2025-01-03","Restaurant Breton Mamie Bigoude Bourges","114","104","27,53","0,29"
"2025-01-03","Restaurant Breton Mamie Bigoude Orléans","17","16","30,94","0,29"
"2025-01-03","Restaurant Breton Mamie Bigoude Tours","25","23","21,8","0,24"
"2025-01-03","Tarjeta de galettes restaurante Mamie Bigoude","1","1","45","0"
"2025-01-03","Univers Comptoir Mamie Bigoude","28","27","34,64","0,07"
"2025-01-04","Carte Formules restaurant Mamie Bigoude","77","75","22,88","0,05"
"2025-01-04","Carte Galettes restaurant Mamie Bigoude","111","102","31,87","0,13"
"2025-01-04","Carte Salades restaurant Mamie Bigoude","22","21","13,64","0,05"
"2025-01-04","Carte crêpes restaurant Mamie Bigoude","50","47","20,92","0,08"
"2025-01-04","Comptoir Mamie Bigoude - Crepería en Amboise, Tours, Orleans, Blois","1","1","40","0"
"2025-01-04","Comptoir Mamie Bigoude - Crêperie a Amboise, Tours, Orléans, Blois","1","1","2","1"
"2025-01-04","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","287","266","21,28","0,26"
"2025-01-04","Comptoir Mamie Bigoude - Crêperie à Tours, Nantes, Blois","2","1","5,5","0,5"
"2025-01-04","Devenir franchisé Comptoir Mamie Bigoude","37","37","18,3","0,32"
"2025-01-04","Mamie Bigoude Counter - Crêperie in Amboise, Tours, Orléans, Blois","1","1","35","0"
"2025-01-04","Menú Menús del restaurante Mamie Bigoude","1","1","26","0"
"2025-01-04","Menú del restaurante Galettes Mamie Bigoude","2","2","31,5","0"
"2025-01-04","Restaurant Breton Mamie Bigoude Blois","12","10","23,67","0,17"
"2025-01-04","Restaurant Breton Mamie Bigoude Bourges","105","89","18,32","0,42"
"2025-01-04","Restaurant Breton Mamie Bigoude Orléans","8","8","33,13","0,25"
"2025-01-04","Restaurant Breton Mamie Bigoude Tours","15","14","12,47","0,33"
"2025-01-04","Univers Comptoir Mamie Bigoude","37","37","34,24","0"
"2025-01-05","Breton Restaurant Mamie Bigoude Blois","1","1","70","0"
"2025-01-05","Carta de crepes del restaurante Mamie Bigoude","1","1","12","0"
"2025-01-05","Carte Formules restaurant Mamie Bigoude","58","53","23,31","0,16"
"2025-01-05","Carte Galettes restaurant Mamie Bigoude","79","73","37,1","0,08"
"2025-01-05","Carte Salades restaurant Mamie Bigoude","18","18","16,17","0"
"2025-01-05","Carte crêpes restaurant Mamie Bigoude","32","31","31,28","0,13"
"2025-01-05","Comptoir Mamie Bigoude - Crepería en Amboise, Tours, Orleans, Blois","2","2","67,5","0"
"2025-01-05","Comptoir Mamie Bigoude - Crêperie v Amboise, Tours, Orléans, Blois","1","1","13","0"
"2025-01-05","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","196","178","19,11","0,33"
"2025-01-05","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois et Bourges","1","1","37","0"
"2025-01-05","Comptoir Universe Mamie Bigoude","1","1","8","0"
"2025-01-05","Devenir franchisé Comptoir Mamie Bigoude","42","42","22,07","0,5"
"2025-01-05","Menú Menús del restaurante Mamie Bigoude","1","1","45","0"
"2025-01-05","Menú del restaurante Galettes Mamie Bigoude","1","1","19","0"
"2025-01-05","Restaurant Breton Mamie Bigoude Blois","12","10","13,92","0,25"
"2025-01-05","Restaurant Breton Mamie Bigoude Bourges","57","53","17,07","0,42"
"2025-01-05","Restaurant Breton Mamie Bigoude Orléans","6","6","14","0,33"
"2025-01-05","Restaurant Breton Mamie Bigoude Tours","7","7","9","0,57"
"2025-01-05","Univers Comptoir Mamie Bigoude","27","26","25,59","0,07"
"2025-01-06","Carta de crepes del restaurante Mamie Bigoude","1","1","3","0"
"2025-01-06","Carte Formules restaurant Mamie Bigoude","52","49","24,29","0,17"
"2025-01-06","Carte Galettes restaurant Mamie Bigoude","71","66","32,13","0,14"
"2025-01-06","Carte Salades restaurant Mamie Bigoude","18","18","18,11","0"
"2025-01-06","Carte crêpes restaurant Mamie Bigoude","27","25","23","0,04"
"2025-01-06","Comptoir Mamie Bigoude - Crepería en Amboise, Tours, Orleans, Blois","1","1","2","0"
"2025-01-06","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","160","150","21,77","0,28"
"2025-01-06","Devenir franchisé Comptoir Mamie Bigoude","54","54","12,22","0,61"
"2025-01-06","Mamie Bigoude Restaurant Formulas Map","1","1","13","0"
"2025-01-06","Mamie Bigoude Restaurant Galettes Map","1","1","3","0"
"2025-01-06","Menú del restaurante Galettes Mamie Bigoude","1","1","19","0"
"2025-01-06","Restaurant Breton Mamie Bigoude Blois","7","7","8,29","0"
"2025-01-06","Restaurant Breton Mamie Bigoude Bourges","51","45","25,75","0,39"
"2025-01-06","Restaurant Breton Mamie Bigoude Orléans","7","7","26,43","0"
"2025-01-06","Restaurant Breton Mamie Bigoude Tours","15","13","18,13","0,2"
"2025-01-06","Univers Comptoir Mamie Bigoude","16","16","31,94","0"
"2025-01-07","Carte Formules restaurant Mamie Bigoude","44","42","24,95","0,14"
"2025-01-07","Carte Galettes restaurant Mamie Bigoude","73","68","46,51","0,12"
"2025-01-07","Carte Salades restaurant Mamie Bigoude","19","16","10,74","0,21"
"2025-01-07","Carte crêpes restaurant Mamie Bigoude","23","23","42,3","0"
"2025-01-07","Comptoir Mamie Bigoude - Creperie in Amboise, Tours, Orléans, Blois","1","1","26","0"
"2025-01-07","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","185","165","19,98","0,34"
"2025-01-07","Devenir franchisé Comptoir Mamie Bigoude","21","21","20,29","0,33"
"2025-01-07","Menu Formulas restaurant Mamie Bigoude","1","1","15","0"
"2025-01-07","Menu Salads restaurant Mamie Bigoude","1","1","3","0"
"2025-01-07","Menu pancakes restaurant Mamie Bigoude","1","1","10","0"
"2025-01-07","Restaurant Breton Mamie Bigoude Blois","15","12","11,4","0,27"
"2025-01-07","Restaurant Breton Mamie Bigoude Bourges","64","53","26,17","0,36"
"2025-01-07","Restaurant Breton Mamie Bigoude Orléans","2","2","14","0"
"2025-01-07","Restaurant Breton Mamie Bigoude Tours","9","9","25,78","0,11"
"2025-01-07","Univers Comptoir Mamie Bigoude","26","22","19,81","0,08"
"2025-01-08","Become a Comptoir Mamie Bigoude franchisee","1","1","39","0"
"2025-01-08","Carte Formules restaurant Mamie Bigoude","54","51","33,02","0,07"
"2025-01-08","Carte Galettes restaurant Mamie Bigoude","96","87","45,99","0,07"
"2025-01-08","Carte Salades restaurant Mamie Bigoude","20","19","18,55","0"
"2025-01-08","Carte crêpes restaurant Mamie Bigoude","41","38","32,51","0,02"
"2025-01-08","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","194","181","23,81","0,29"
"2025-01-08","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois et Bourges","1","1","0","1"
"2025-01-08","Devenir franchisé Comptoir Mamie Bigoude","21","20","10,14","0,29"
"2025-01-08","Restaurant Breton Mamie Bigoude Blois","7","7","45,14","0,29"
"2025-01-08","Restaurant Breton Mamie Bigoude Bourges","67","56","25,6","0,24"
"2025-01-08","Restaurant Breton Mamie Bigoude Orléans","10","8","10,9","0,4"
"2025-01-08","Restaurant Breton Mamie Bigoude Tours","17","17","20,53","0,06"
"2025-01-08","Univers Comptoir Mamie Bigoude","22","21","29,68","0,05"
"2025-01-09","Breton Restaurant Mamie Bigoude Bourges","1","1","24","0"
"2025-01-09","Carte Formules restaurant Mamie Bigoude","47","44","22,87","0,13"
"2025-01-09","Carte Galettes restaurant Mamie Bigoude","60","59","24,3","0,13"
"2025-01-09","Carte Salades restaurant Mamie Bigoude","19","19","13,63","0,05"
"2025-01-09","Carte crêpes restaurant Mamie Bigoude","24","23","23,67","0,04"
"2025-01-09","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","182","171","18,59","0,29"
"2025-01-09","Comptoir Universe Mamie Bigoude","1","1","107","0"
"2025-01-09","Devenir franchisé Comptoir Mamie Bigoude","27","27","14,63","0,37"
"2025-01-09","Mamie Bigoude Counter - Crêperie in Amboise, Tours, Orléans, Blois","1","1","14","0"
"2025-01-09","Restaurant Breton Mamie Bigoude Blois","17","15","26,29","0,12"
"2025-01-09","Restaurant Breton Mamie Bigoude Bourges","67","61","26,58","0,31"
"2025-01-09","Restaurant Breton Mamie Bigoude Orléans","6","5","10,17","0,17"
"2025-01-09","Restaurant Breton Mamie Bigoude Poitiers","7","6","15,29","0,14"
"2025-01-09","Restaurant Breton Mamie Bigoude Tours","11","10","9,45","0,18"
"2025-01-09","Restaurante bretão Mamie Bigoude Bourges","1","1","31","0"
"2025-01-09","Univers Comptoir Mamie Bigoude","26","22","23,12","0,15"
"2025-01-10","Carte Formules restaurant Mamie Bigoude","59","56","35,46","0,07"
"2025-01-10","Carte Galettes restaurant Mamie Bigoude","83","76","42,48","0,08"
"2025-01-10","Carte Salades restaurant Mamie Bigoude","23","22","17,48","0"
"2025-01-10","Carte crêpes restaurant Mamie Bigoude","42","37","36,4","0,07"
"2025-01-10","Comptoir Mamie Bigoude - Creperie in Amboise, Tours, Orléans, Blois","1","1","38","0"
"2025-01-10","Comptoir Mamie Bigoude - Crêperie em Amboise, Tours, Orléans, Blois","1","1","74","0"
"2025-01-10","Comptoir Mamie Bigoude - Crêperie in Amboise, Tours, Orléans, Blois","1","1","11","0"
"2025-01-10","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","212","197","21,02","0,29"
"2025-01-10","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois et Bourges","1","1","0","1"
"2025-01-10","Comptoir Universe Mamie Bigoude","1","1","27","0"
"2025-01-10","Devenir franchisé Comptoir Mamie Bigoude","23","21","28,57","0,17"
"2025-01-10","Menu Galettes restaurant Mamie Bigoude","1","1","28","0"
"2025-01-10","Menu Galettes restaurante Mamie Bigoude","1","1","36","0"
"2025-01-10","Menu Mamie Bigoude menus do restaurante","1","1","30","0"
"2025-01-10","Menu Restaurant Menus Mamie Bigoude","1","1","71","0"
"2025-01-10","Menu de crepes do restaurante Mamie Bigoude","1","1","11","0"
"2025-01-10","Restaurant Breton Mamie Bigoude Blois","11","11","77,82","0"
"2025-01-10","Restaurant Breton Mamie Bigoude Bourges","74","58","22,51","0,34"
"2025-01-10","Restaurant Breton Mamie Bigoude Orléans","12","10","9,33","0,17"
"2025-01-10","Restaurant Breton Mamie Bigoude Poitiers","4","4","46","0"
"2025-01-10","Restaurant Breton Mamie Bigoude Tours","25","21","23,08","0,16"
"2025-01-10","Restaurante bretão Mamie Bigoude Bourges","1","1","65","0"
"2025-01-10","Univers Comptoir Mamie Bigoude","31","29","22,68","0,16"
"2025-01-10","Universe Comptoir Mamie Bigoude","1","1","19","0"
"2025-01-10","Universo Comptoir Mamie Bigoude","1","1","27","0"
"2025-01-11","Carte Formules restaurant Mamie Bigoude","71","68","26,87","0,08"
"2025-01-11","Carte Galettes restaurant Mamie Bigoude","101","93","47,22","0,08"
"2025-01-11","Carte Salades restaurant Mamie Bigoude","17","17","22,94","0"
"2025-01-11","Carte crêpes restaurant Mamie Bigoude","44","43","26,8","0,05"
"2025-01-11","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","253","233","25,15","0,27"
"2025-01-11","Devenir franchisé Comptoir Mamie Bigoude","23","21","23","0,39"
"2025-01-11","Restaurant Breton Mamie Bigoude Blois","2","2","8","0,5"
"2025-01-11","Restaurant Breton Mamie Bigoude Bourges","104","82","15,24","0,46"
"2025-01-11","Restaurant Breton Mamie Bigoude Orléans","12","11","15,25","0,17"
"2025-01-11","Restaurant Breton Mamie Bigoude Poitiers","7","7","38,86","0"
"2025-01-11","Restaurant Breton Mamie Bigoude Tours","22","18","23,32","0,36"
"2025-01-11","Univers Comptoir Mamie Bigoude","24","22","18,5","0,13"
"2025-01-12","Carte Formules restaurant Mamie Bigoude","70","68","31,7","0,1"
"2025-01-12","Carte Galettes restaurant Mamie Bigoude","89","81","55,66","0,04"
"2025-01-12","Carte Salades restaurant Mamie Bigoude","30","29","19,87","0,03"
"2025-01-12","Carte crêpes restaurant Mamie Bigoude","43","42","35,51","0"
"2025-01-12","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","230","213","22,79","0,3"
"2025-01-12","Devenir franchisé Comptoir Mamie Bigoude","22","21","29,18","0,27"
"2025-01-12","Restaurant Breton Mamie Bigoude Blois","9","8","15,22","0,22"
"2025-01-12","Restaurant Breton Mamie Bigoude Bourges","77","64","28,42","0,34"
"2025-01-12","Restaurant Breton Mamie Bigoude Orléans","8","8","26,38","0,13"
"2025-01-12","Restaurant Breton Mamie Bigoude Poitiers","3","3","37,67","0"
"2025-01-12","Restaurant Breton Mamie Bigoude Tours","18","18","33,33","0,22"
"2025-01-12","Univers Comptoir Mamie Bigoude","25","22","61,84","0,04"
"2025-01-13","Carte Formules restaurant Mamie Bigoude","67","67","31,4","0,03"
"2025-01-13","Carte Galettes restaurant Mamie Bigoude","86","81","51,59","0,1"
"2025-01-13","Carte Salades restaurant Mamie Bigoude","23","23","15,65","0"
"2025-01-13","Carte crêpes restaurant Mamie Bigoude","36","34","41,78","0,06"
"2025-01-13","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","204","195","22,98","0,2"
"2025-01-13","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois et Bourges","3","3","17","0"
"2025-01-13","Devenir franchisé Comptoir Mamie Bigoude","25","25","36,32","0,24"
"2025-01-13","Restaurant Breton Mamie Bigoude Blois","8","6","33,38","0,13"
"2025-01-13","Restaurant Breton Mamie Bigoude Bourges","76","65","15,7","0,38"
"2025-01-13","Restaurant Breton Mamie Bigoude Orléans","9","9","38","0"
"2025-01-13","Restaurant Breton Mamie Bigoude Poitiers","32","30","27,09","0,03"
"2025-01-13","Restaurant Breton Mamie Bigoude Tours","9","9","28,56","0"
"2025-01-13","Univers Comptoir Mamie Bigoude","30","30","51,3","0,03"
"2025-01-14","Carte Formules restaurant Mamie Bigoude","77","74","30,42","0,04"
"2025-01-14","Carte Galettes restaurant Mamie Bigoude","137","126","48,82","0,08"
"2025-01-14","Carte Salades restaurant Mamie Bigoude","52","51","16,67","0,02"
"2025-01-14","Carte crêpes restaurant Mamie Bigoude","80","73","34,54","0,09"
"2025-01-14","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","318","297","21,62","0,23"
"2025-01-14","Comptoir Mamie Bigoude - Crêperie à Tours, Nantes, Blois","1","1","60","0"
"2025-01-14","Devenir franchisé Comptoir Mamie Bigoude","28","28","30,14","0,32"
"2025-01-14","Mamie Bigoude Restaurant Formulas Map","1","1","32","0"
"2025-01-14","Restaurant Breton Mamie Bigoude Blois","5","4","19,6","0,4"
"2025-01-14","Restaurant Breton Mamie Bigoude Bourges","69","56","20,72","0,35"
"2025-01-14","Restaurant Breton Mamie Bigoude Orléans","12","12","14,08","0,5"
"2025-01-14","Restaurant Breton Mamie Bigoude Poitiers","49","47","24,82","0,1"
"2025-01-14","Restaurant Breton Mamie Bigoude Tours","10","10","26,9","0,2"
"2025-01-14","Univers Comptoir Mamie Bigoude","56","53","23,79","0,04"
"2025-01-15","Carte Formules restaurant Mamie Bigoude","92","88","36,86","0,03"
"2025-01-15","Carte Galettes restaurant Mamie Bigoude","156","145","47,97","0,06"
"2025-01-15","Carte Salades restaurant Mamie Bigoude","36","35","20,19","0,06"
"2025-01-15","Carte crêpes restaurant Mamie Bigoude","79","72","36,09","0,06"
"2025-01-15","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","295","276","25,41","0,17"
"2025-01-15","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois et Bourges","3","2","6,67","0"
"2025-01-15","Devenir franchisé Comptoir Mamie Bigoude","32","30","32,81","0,16"
"2025-01-15","Restaurant Breton Mamie Bigoude Blois","12","12","15,25","0,17"
"2025-01-15","Restaurant Breton Mamie Bigoude Bourges","67","56","22,72","0,34"
"2025-01-15","Restaurant Breton Mamie Bigoude Orléans","8","8","23,25","0"
"2025-01-15","Restaurant Breton Mamie Bigoude Poitiers","68","63","27,26","0,09"
"2025-01-15","Restaurant Breton Mamie Bigoude Tours","15","15","18,93","0,07"
"2025-01-15","Torne-se um franqueado Comptoir Mamie Bigoude","1","1","63","0"
"2025-01-15","Univers Comptoir Mamie Bigoude","68","62","26,28","0,07"
"2025-01-16","Carte Formules restaurant Mamie Bigoude","90","88","36,49","0,07"
"2025-01-16","Carte Galettes restaurant Mamie Bigoude","112","108","54,71","0,04"
"2025-01-16","Carte Salades restaurant Mamie Bigoude","40","40","20,95","0,08"
"2025-01-16","Carte crêpes restaurant Mamie Bigoude","71","69","31,06","0,06"
"2025-01-16","Comptoir Mamie Bigoude - Crepería en Amboise, Tours, Orleans, Blois","1","1","5","1"
"2025-01-16","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","261","247","26,9","0,18"
"2025-01-16","Comptoir Mamie Bigoude - Crêperie à Tours, Nantes, Blois","1","1","37","0"
"2025-01-16","Devenir franchisé Comptoir Mamie Bigoude","26","24","25,85","0,42"
"2025-01-16","Mamie Bigoude Counter - Crêperie in Amboise, Tours, Orléans, Blois","1","1","18","0"
"2025-01-16","Mamie Bigoude Restaurant Formulas Map","1","1","33","0"
"2025-01-16","Mamie Bigoude Restaurant Galettes Map","1","1","83","0"
"2025-01-16","Mamie Bigoude Restaurant Salads Menu","1","1","27","0"
"2025-01-16","Restaurant Breton Mamie Bigoude Blois","8","8","17,38","0,25"
"2025-01-16","Restaurant Breton Mamie Bigoude Bourges","79","70","24,81","0,29"
"2025-01-16","Restaurant Breton Mamie Bigoude Orléans","12","11","43,5","0,17"
"2025-01-16","Restaurant Breton Mamie Bigoude Poitiers","66","58","19,76","0,15"
"2025-01-16","Restaurant Breton Mamie Bigoude Tours","14","14","19,71","0,14"
"2025-01-16","Univers Comptoir Mamie Bigoude","41","39","33,29","0,05"
"2025-01-17","Carte Formules restaurant Mamie Bigoude","80","78","33,56","0,04"
"2025-01-17","Carte Galettes restaurant Mamie Bigoude","145","135","43,95","0,08"
"2025-01-17","Carte Salades restaurant Mamie Bigoude","42","42","17,48","0,02"
"2025-01-17","Carte crêpes restaurant Mamie Bigoude","81","74","22,67","0,1"
"2025-01-17","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","288","270","23,72","0,23"
"2025-01-17","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois et Bourges","2","2","15","0,5"
"2025-01-17","Devenir franchisé Comptoir Mamie Bigoude","30","28","22,03","0,37"
"2025-01-17","Restaurant Breton Mamie Bigoude Blois","8","8","25,63","0"
"2025-01-17","Restaurant Breton Mamie Bigoude Bourges","103","92","25,83","0,33"
"2025-01-17","Restaurant Breton Mamie Bigoude Orléans","9","7","60,67","0,56"
"2025-01-17","Restaurant Breton Mamie Bigoude Poitiers","68","59","24,46","0,22"
"2025-01-17","Restaurant Breton Mamie Bigoude Tours","21","21","21,9","0,14"
"2025-01-17","Univers Comptoir Mamie Bigoude","47","45","26,91","0,09"
"2025-01-18","Carte Formules restaurant Mamie Bigoude","88","82","29,53","0,08"
"2025-01-18","Carte Galettes restaurant Mamie Bigoude","142","133","53,68","0,06"
"2025-01-18","Carte Salades restaurant Mamie Bigoude","35","33","12,97","0,03"
"2025-01-18","Carte crêpes restaurant Mamie Bigoude","76","72","36,04","0,07"
"2025-01-18","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","310","290","22,83","0,24"
"2025-01-18","Devenir franchisé Comptoir Mamie Bigoude","24","24","18,63","0,25"
"2025-01-18","Menu Formulas restaurant Mamie Bigoude","1","1","40","0"
"2025-01-18","Menu Salads restaurant Mamie Bigoude","1","1","18","0"
"2025-01-18","Menu pancakes restaurant Mamie Bigoude","1","1","36","0"
"2025-01-18","Restaurant Breton Mamie Bigoude Blois","15","15","21,2","0,07"
"2025-01-18","Restaurant Breton Mamie Bigoude Bourges","93","78","19,69","0,37"
"2025-01-18","Restaurant Breton Mamie Bigoude Orléans","11","10","14,91","0,27"
"2025-01-18","Restaurant Breton Mamie Bigoude Poitiers","37","36","21,59","0,19"
"2025-01-18","Restaurant Breton Mamie Bigoude Tours","19","16","51,26","0,21"
"2025-01-18","Univers Comptoir Mamie Bigoude","39","38","31,1","0,05"
"2025-01-19","Carte Formules restaurant Mamie Bigoude","95","90","27,08","0,09"
"2025-01-19","Carte Galettes restaurant Mamie Bigoude","142","135","38,74","0,07"
"2025-01-19","Carte Salades restaurant Mamie Bigoude","34","34","17,91","0"
"2025-01-19","Carte crêpes restaurant Mamie Bigoude","79","73","38,18","0,1"
"2025-01-19","Comptoir Mamie Bigoude - Creperie em Amboise, Tours, Orléans, Blois","1","1","33","0"
"2025-01-19","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","301","284","25,09","0,26"
"2025-01-19","Comptoir Mamie Bigoude - Crêperie à Tours, Nantes, Blois","1","1","40","0"
"2025-01-19","Comptoir Mamie Bigoude - Блинная в Амбуазе, Туре, Орлеане, Блуа","1","1","19","0"
"2025-01-19","Devenir franchisé Comptoir Mamie Bigoude","26","26","22,04","0,31"
"2025-01-19","Restaurant Breton Mamie Bigoude Blois","6","5","23,5","0,33"
"2025-01-19","Restaurant Breton Mamie Bigoude Bourges","53","46","26,89","0,25"
"2025-01-19","Restaurant Breton Mamie Bigoude Orléans","8","8","97,63","0"
"2025-01-19","Restaurant Breton Mamie Bigoude Poitiers","41","35","15,56","0,29"
"2025-01-19","Restaurant Breton Mamie Bigoude Tours","17","14","23,94","0,29"
"2025-01-19","Univers Comptoir Mamie Bigoude","54","49","26,43","0,09"
"2025-01-19","Блинное меню ресторана Mamie Bigoude","1","1","17","0"
"2025-01-19","Меню ресторана Galettes Mamie Bigoude","1","1","16","0"
"2025-01-19","Меню ресторана Мами Бигуд","1","1","22","0"
"2025-01-19","Салатное меню ресторана Mamie Bigoude","1","1","13","0"
"2025-01-20","Carte Formules restaurant Mamie Bigoude","70","67","25,71","0,04"
"2025-01-20","Carte Galettes restaurant Mamie Bigoude","128","116","48,09","0,12"
"2025-01-20","Carte Salades restaurant Mamie Bigoude","33","33","23,45","0"
"2025-01-20","Carte crêpes restaurant Mamie Bigoude","56","52","27,88","0,09"
"2025-01-20","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","222","211","23,84","0,23"
"2025-01-20","Comptoir Mamie Bigoude - Crêperie à Tours, Nantes, Blois","1","1","37","0"
"2025-01-20","Devenir franchisé Comptoir Mamie Bigoude","35","34","40,34","0,23"
"2025-01-20","Mamie Bigoude Counter - Crêperie in Amboise, Tours, Orléans, Blois","2","2","3,5","0"
"2025-01-20","Mamie Bigoude Restaurant Formulas Map","1","1","13","0"
"2025-01-20","Restaurant Breton Mamie Bigoude Blois","8","8","32,38","0,13"
"2025-01-20","Restaurant Breton Mamie Bigoude Bourges","52","43","16,67","0,38"
"2025-01-20","Restaurant Breton Mamie Bigoude Orléans","8","8","21,5","0"
"2025-01-20","Restaurant Breton Mamie Bigoude Poitiers","40","32","17,4","0,25"
"2025-01-20","Restaurant Breton Mamie Bigoude Tours","14","13","14,64","0,21"
"2025-01-20","Univers Comptoir Mamie Bigoude","36","34","21,33","0,03"
"2025-01-21","Carte Formules restaurant Mamie Bigoude","71","69","33,7","0,06"
"2025-01-21","Carte Galettes restaurant Mamie Bigoude","123","111","52,49","0,1"
"2025-01-21","Carte Salades restaurant Mamie Bigoude","38","37","23,16","0,03"
"2025-01-21","Carte crêpes restaurant Mamie Bigoude","48","46","47,15","0,02"
"2025-01-21","Comptoir Mamie Bigoude - Crêperie à Amboise, Tours, Orléans, Blois","246","233","27,01","0,22"
