Year,Boutique,Influenceuses,Ad name,Impressions,Reach,CTR (link click-through rate),Post engagements,Post reactions,Clicks (all),Video watches at 100%,Video watches at 50%
2025,Valence,Coralie Diary,BODYHOUSE_TRAFIC_IG_Ville_VALENCE_Audience Personnalisée FB_Vidéo Calendrier de l'avent Coralie.Diary  2,221,204,"3,17",83,4,7,,12
2025,Valence,Johanna todisco,BODYHOUSE_TRAFIC_IG_Ville_VALENCE_Audience Personnalisée FB_Vidéo Calendrier de l'avent Johanna.todisco,311,265,"3,86",84,1,12,5,11
2025,Valence,Mommy lilly off,BODYHOUSE_TRAFIC_IG_Ville_VALENCE_Audience Personnalisée FB_Vidéo Calendrier de l'avent mommy lillyoff 2,240,217,"2,5",74,1,9,1,10
2025,Valence,Coralie Diary,BODYHOUSE_TRAFIC_IG_Ville_VALENCE_Bien-être Femmes_Vidéo Calendrier de l'avent Coralie.Diary  2,2329,1940,"4,68",887,3,107,11,139
2025,Valence,Elisa B,BODYHOUSE_TRAFIC_IG_Ville_VALENCE_Bien-être Femmes_Vidéo Calendrier de l'avent ElisaB,215,195,"3,26",62,2,7,5,13
2025,Valence,Elisa B,BODYHOUSE_TRAFIC_IG_Ville_VALENCE_Bien-être Femmes_Vidéo Calendrier de l'avent ElisaB - Copie,24,24,0,4,,0,,
2025,Valence,Jodie chpln,BODYHOUSE_TRAFIC_IG_Ville_VALENCE_Bien-être Femmes_Vidéo Calendrier de l'avent Jodie.chpln,45143,24793,"2,23",11214,153,1008,1658,2906
2025,Valence,Johanna todisco,BODYHOUSE_TRAFIC_IG_Ville_VALENCE_Bien-être Femmes_Vidéo Calendrier de l'avent Johanna.todisco,300,257,3,89,3,11,3,8
