Year,Boutique,influenceuses,Ad name,Impressions,Reach,CTR (link click-through rate),Post engagements,Post reactions,Clicks (all),Video watches at 100%,Video watches at 50%
2025,Lyon,Elisa B,BODYHOUSE_Engagment_IG_ville_LYON_Audience Advantage + (data driven)_# vidéo calendrier de l'avent Elisab - Copie,15904,11882,"0,18",7383,44,211,555,1230
2025,Lyon,Stephya,BODYHOUSE_Engagment_IG_ville_LYON_Audience Advantage + (data driven)_# vidéo Stefpya,2897,2513,"0,07",1850,14,31,164,364
2025,Lyon,Stephya,BODYHOUSE_Engagment_IG_ville_LYON_Audience Advantage + (data driven)_# vidéo Stephya 2,4379,3748,"0,18",1713,61,130,327,529
