Year,Boutique,Influenceuses,Ad name,Impressions,Reach,CTR (link click-through rate),Post engagements,Post reactions,Clicks (all),Video watches at 100%,Video watches at 50%
2025,Aubière,Jenn qre,BODYHOUSE_Engagement_IG_Ville_AUBIERE_Audience advantage + (data driven)_Décembre_skeepers Vidéo Jeen-qre,68757,39167,"0,21",33790,161,397,950,6697
2025,Aubière,Loulouchana,BODYHOUSE_Engagement_IG_Ville_AUBIERE_Audience advantage + (data driven)_Novembre_#Loulouchana,58740,41350,"0,59",24265,227,1002,2320,4038
2025,Aubière,Alice,BODYHOUSE_Engagement_IG_Ville_AUBIERE_Audience advantage + (data driven)_Novembre_#alice,6645,4788,"0,62",2627,39,157,170,344
2025,Aubière,Jenn qre,BODYHOUSE_Engagement_IG_Ville_AUBIERE_Audience advantage + (data driven)_Novembre_Skeepers Jenn qre,29896,21559,"0,39",15973,313,343,841,1861
