Year,Boutique,Influenceuses,Ad name,Impressions,Reach,CTR (link click-through rate),Post engagements,Post reactions,Clicks (all),Video watches at 100%,Video watches at 50%
2025,Montelimar,Elisa B,BODYHOUSE_Engagment_META_Ville_MONTELIMAR_Audience Advantage + (data driven)_ # vidéo calendrier de l'avent ElisaB,25342,15455,"0,14",10782,42,431,621,1454
2025,Montelimar,Jodie chpln,BODYHOUSE_Engagment_META_Ville_MONTELIMAR_Audience Advantage + (data driven)_ # vidéo calendrier de l'avent jodiechpln,31609,15586,"0,17",11329,50,544,1417,2463
2025,Montelimar,Johanna todisco,BODYHOUSE_Engagment_META_Ville_MONTELIMAR_Audience Advantage + (data driven)_ # vidéo calendrier de l'avent johanna todisco,10492,5472,"0,29",4227,24,260,181,373
2025,Montelimar,Mommy lilly off,BODYHOUSE_Engagment_META_Ville_MONTELIMAR_Audience Advantage + (data driven)_ # vidéo calendrier de l'avent mommylilly off 2,40693,17243,"0,27",17247,139,2721,630,4612
2025,Montelimar,Coralie diary,BODYHOUSE_Engagment_META_Ville_MONTELIMAR_Audience Advantage + (data driven)_ # vidéo calendrier de l'avent coralie diary,105 978,48118,"0,17",48118,197,1762,612,4456
