Year,Boutique,Influenceuses,Ad name,Impressions,Reach,CTR (link click-through rate),Post engagements,Post reactions,Clicks (all),Video watches at 100%,Video watches at 50%
2025,Grenoble,Elisa B,BODYHOUSE_Engagment_IG_ville_GRENOBLE_Audience Advantage + (data driven)_# vidéo calendrier de l'avent Elisab - Copie 2,1662,1251,"0,06",807,9,22,45,124
2025,Grenoble,Coralie Diary,BODYHOUSE_Engagment_IG_ville_GRENOBLE_Audience Advantage + (data driven)_# vidéo calendrier de l'avent coralie.diary 2,112852,58104,"0,16",58979,292,1535,868,9137
2025,Grenoble,Jodie chpln,BODYHOUSE_Engagment_IG_ville_GRENOBLE_Audience Advantage + (data driven)_# vidéo calendrier de l'avent jodie chpln,6605,4199,"0,11",2839,13,81,358,655
2025,Grenoble,Johanna todisco,BODYHOUSE_Engagment_IG_ville_GRENOBLE_Audience Advantage + (data driven)_# vidéo calendrier de l'avent johanna todisco,4631,3114,"0,17",1927,18,100,88,193
2025,Grenoble,Mommy lilly off,BODYHOUSE_Engagment_IG_ville_GRENOBLE_Audience Advantage + (data driven)_# vidéo calendrier de l'avent mommylillyoff 2,52554,28340,"0,23",26321,225,1001,328,3444
