Year,Boutique,Influenceuses,Ad name,Impressions,Reach,CTR (link click-through rate),Post engagements,Post reactions,Clicks (all),Video watches at 100%,Video watches at 50%
2025,Avignon Sud,Coralie Diary,BODYHOUSE_Engagment_IG_ville_AVIGNON SUD_Audience Advantage + (data driven)_# vidéo calendrier de l'avent coralie.diary 2,216699,101272,"0,15",101933,453,2828,1715,14947
2025,Avignon Sud,Elisa B,BODYHOUSE_Engagment_IG_ville_AVIGNON SUD_Audience Advantage + (data driven)_# vidéo calendrier de l'avent elisaB,6477,4527,"0,12",2977,31,82,173,388
2025,Avignon Sud,Jodie Chpln,BODYHOUSE_Engagment_IG_ville_AVIGNON SUD_Audience Advantage + (data driven)_# vidéo calendrier de l'avent jodie chpln,37660,21690,"0,21",15104,66,525,1852,2983
2025,Avignon Sud,Johanna todisco,BODYHOUSE_Engagment_IG_ville_AVIGNON SUD_Audience Advantage + (data driven)_# vidéo calendrier de l'avent johanna todisco,19597,12032,"0,18",7625,54,414,315,766
2025,Avignon Sud,la vie de la meute,BODYHOUSE_Engagment_IG_ville_AVIGNON SUD_Audience Advantage + (data driven)_# vidéo calendrier de l'avent laviedelameute,38583,25055,"0,23",16641,110,578,554,2411
2025,Avignon Sud,Mommy lilly off,BODYHOUSE_Engagment_IG_ville_AVIGNON SUD_Audience Advantage + (data driven)_# vidéo calendrier de l'avent mommylillyoff 2,17882,12791,"0,18",8321,98,356,127,919
